u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
18089,18091,3,1,6374,34321,40,907122,0,9498190.0,
3023,7561,0,0,0,0,0,0,0,0.0,
74381,263494,0,0,0,0,0,0,0,0.0,
61003,237153,0,0,28,308,4,584,4,2303.0,
51710,122506,0,0,0,0,0,0,0,5.0,
25192,25196,0,0,646,6664,17,38036,4,187973.0,
16109,116393,0,0,0,0,0,0,0,0.0,
13652,83724,0,0,6359,34842,39,558632,3,5097458.0,
189995,190004,0,0,147,1381,13,6156,9,19562.0,
3962,3964,0,0,1090,11172,20,127455,3,702484.0,
3623,53382,0,0,2934,21188,25,196408,5,1643214.0,
14335,14338,0,0,6,8,1,6,6,359.0,
50063,199179,0,0,0,0,0,0,0,6.0,
55684,162670,0,0,0,0,0,0,0,0.0,
3297,42533,0,0,65,619,7,3185,0,37824.0,
43181,121423,0,0,9175,50812,27,630749,10,9357302.0,
187125,190693,0,0,0,0,0,0,0,1.0,
50768,50770,0,0,1139,11369,27,157617,6,853840.0,
224786,224788,0,0,23,25,3,79,5,497.0,
75830,82881,0,0,14680,67082,40,1333080,4,28410626.0,
888,26366,0,0,0,0,0,0,0,4.0,
30531,202499,0,0,6131,37518,28,693146,7,7890250.0,
190812,190813,0,0,144,677,13,4182,3,5805.0,
114078,195985,0,0,0,0,0,0,0,0.0,
75689,171705,0,0,0,0,0,0,0,2.0,
29330,180912,33,1,5610,29348,40,442341,0,4689428.0,
48830,239566,0,0,0,0,0,0,0,0.0,
111754,265778,0,0,0,0,0,0,0,1.0,
16042,195828,0,0,0,0,0,0,0,1.0,
14161,17948,2,1,10550,54170,40,1531144,0,27082023.0,
145612,145614,0,0,30,36,5,145,5,542.0,
14963,35824,0,0,6789,45387,24,805772,5,11599610.0,
128293,199571,0,0,5056,30064,34,346843,3,2961100.0,
116862,153215,0,0,0,0,0,0,0,4.0,
69584,164497,0,0,17,126,3,209,3,788.0,
5766,5796,0,0,5679,35007,27,662931,2,7374870.0,
240675,240677,0,0,0,0,0,0,0,3.0,
21431,146943,0,0,2977,21394,30,458456,3,3450671.0,
144380,294074,0,0,0,0,0,0,0,2.0,
11717,61788,0,0,0,0,0,0,0,2.0,
83994,84035,0,0,0,0,0,0,0,4.0,
130350,130352,0,0,16545,74680,38,2480039,13,62105569.0,
40879,40882,0,0,0,0,0,0,0,2.0,
9975,14389,0,0,15080,67340,35,1054459,14,21560572.0,
6061,10867,0,0,0,0,0,0,0,1.0,
53402,88885,0,0,8725,47506,36,1320071,3,19623818.0,
81996,81997,0,0,4990,36778,25,474989,14,5988473.0,
11940,11957,0,0,1788,15610,26,93704,6,534260.0,
55751,234213,0,0,10455,48815,40,838692,9,11576685.0,
15782,178641,0,0,0,0,0,0,0,1.0,
