1, 317081.000000
2, 1049867.000000
3, 2224385.000000
4, 16713192.000000
5, 262663639.000000
6, 4221802226.000000
7, 60913718813.000000
8, 777232734905.000000
9, 8813264533265.000000
10, 89563892212629.000000
11, 822551101011442.750000
12, 6877984433681740.000000
13, 52703020644607744.000000
14, 372142261211679424.000000
15, 2433198441660036608.000000
16, 14793236177633251328.000000
17, 83938187484320874496.000000
18, 445932507870828625920.000000
19, 2224504867233366540288.000000
20, 10446181270970580336640.000000
21, 46283998065564686745600.000000
22, 193884348944725674295296.000000
23, 769301506908837635948544.000000
24, 2896148898698494421762048.000000
25, 10360452868913899908366336.000000
26, 35267578486810958737965056.000000
27, 114384229494731130848411648.000000
28, 353882844541828266836623360.000000
29, 1045500945484970776611258368.000000
30, 2952522344434307602317312000.000000
31, 7977469762334227556514922496.000000
32, 20640007130007429981111582720.000000
33, 51176368942885013389523812352.000000
34, 121691805277217894838927622144.000000
35, 277702486989482466557653155840.000000
36, 608552281632861459935362285568.000000
37, 1281354088958175497799109443584.000000
38, 2593753441561271225952946356224.000000
39, 5050036251452280778882646278144.000000
40, 9461685756006826666386283036672.000000
41, 17066229667564960265992415477760.000000
42, 29646554565281441607437093175296.000000
43, 49617792409742281253273292767232.000000
44, 80033778500033241893826897903616.000000
45, 124455956748375905275832384356352.000000
46, 186632199085421723417711503998976.000000
47, 269958310291313393514772971913216.000000
48, 376743607126235665188513191559168.000000
49, 507368408488814587067047457325056.000000
50, 659490193510360232073291800510464.000000
51, 827503319526141125655457999880192.000000
52, 1002459881228621942844548687331328.000000
53, 1172600180138566796723580009709568.000000
54, 1324521742818461752189109030354944.000000
55, 1444859609358690659990745284345856.000000
56, 1522200059012581635376935308623872.000000
57, 1548853587168657429881322922311680.000000
58, 1522108182946627518507115834507264.000000
59, 1444681555994663822104761942933504.000000
60, 1324268476210272163136396888899584.000000
61, 1172287063283178565331670804725760.000000
62, 1002105401290610069521785644122112.000000
63, 827127484722823045292366130839552.000000
64, 659112756753823103238667189092352.000000
65, 507007138306763967314424655511552.000000
66, 376412850650923272976611999219712.000000
67, 269668057530871680149230438055936.000000
68, 186387766023789350828017534894080.000000
69, 124258282314737315436124377710592.000000
70, 79880213423691213350069975646208.000000
71, 49503179299056784548751099297792.000000
72, 29564375834686708932279573413888.000000
73, 17009631160858237461301165031424.000000
74, 9424251157908665610629971705856.000000
75, 5026265758922826313050814939136.000000
76, 2579267393285863903670881484800.000000
77, 1272885010028436737566273699840.000000
78, 603804362151427305915532967936.000000
79, 275151334118826533063619510272.000000
80, 120378702441299626263075356672.000000
81, 50529330118313788733799792640.000000
82, 20334973840860344387136126976.000000
83, 7839989794356137214015963136.000000
84, 2893329538347515779773104128.000000
85, 1021175124784685562667728896.000000
86, 344349750042016233774120960.000000
87, 110825206648457176039817216.000000
88, 34003188355937392004169728.000000
89, 9933515691470365355147264.000000
90, 2759309913050247325548544.000000
91, 727730086780155337900032.000000
92, 181932521671802256097280.000000
93, 43037800822839185506304.000000
94, 9614827843107831152640.000000
95, 2024174282731848204288.000000
96, 400617826788367073280.000000
97, 74341452393551790080.000000
98, 12895966231524315136.000000
99, 2084196562670061056.000000
100, 312629484400488256.000000
101, 43334780015908480.000000
102, 5523060198105992.000000
103, 643463324051184.000000
104, 68058620813106.000000
105, 6481773410772.000000
106, 550339251858.000000
107, 41146859952.000000
108, 2666926108.000000
109, 146803272.000000
110, 6672876.000000
111, 240464.000000
112, 6441.000000
113, 114.000000
114, 1.000000
